date,"bfw","w","rt","total",x-axis,
Jan-54,"11,434,473","43,117,850","8,050,302","62,602,625",1,
Feb-54,"11,485,427","43,108,601","8,029,726","62,623,754",2,
Mar-54,"11,537,724","43,098,162","8,009,742","62,645,628",3,
Apr-54,"11,593,359","43,063,835","7,989,684","62,646,878",4,
May-54,"11,665,017","43,059,560","7,966,507","62,691,084",5,
Jun-54,"11,729,074","43,061,917","7,946,021","62,737,012",6,
Jul-54,"11,798,670","43,052,146","7,924,305","62,775,121",7,
Aug-54,"11,864,690","43,043,336","7,904,429","62,812,455",8,
Sep-54,"11,931,671","43,033,672","7,884,034","62,849,377",9,
Oct-54,"12,011,149","43,009,640","7,858,546","62,879,335",10,
Nov-54,"12,071,317","42,990,855","7,837,603","62,899,775",11,
Dec-54,"12,151,766","42,988,288","7,811,450","62,951,504",12,
Jan-55,"11,243,313","43,329,627","8,409,521","62,982,461",13,
Feb-55,"11,300,684","43,322,496","8,388,780","63,011,960",14,
Mar-55,"11,358,445","43,313,211","8,367,867","63,039,523",15,
Apr-55,"11,424,562","43,285,021","8,342,132","63,051,715",16,
May-55,"11,486,194","43,267,347","8,321,777","63,075,318",17,
Jun-55,"11,553,326","43,268,342","8,299,626","63,121,294",18,
Jul-55,"11,617,090","43,263,603","8,279,131","63,159,824",19,
Aug-55,"11,686,097","43,257,596","8,257,678","63,201,371",20,
Sep-55,"11,763,876","43,244,827","8,234,525","63,243,228",21,
Oct-55,"11,837,021","43,213,897","8,211,544","63,262,462",22,
Nov-55,"11,959,619","43,206,670","8,170,909","63,337,198",23,
Dec-55,"11,898,249","43,217,350","8,192,088","63,307,687",24,
Jan-56,"11,945,057","43,011,772","8,409,939","63,366,768",25,
Feb-56,"11,931,087","43,038,914","8,419,864","63,389,865",26,
Mar-56,"11,912,959","43,066,263","8,434,290","63,413,512",27,
Apr-56,"11,899,458","43,068,496","8,445,544","63,413,498",28,
May-56,"11,889,096","43,090,062","8,456,012","63,435,170",29,
Jun-56,"11,882,447","43,127,502","8,468,871","63,478,820",30,
Jul-56,"11,866,182","43,159,978","8,479,227","63,505,387",31,
Aug-56,"11,851,864","43,198,510","8,491,004","63,541,378",32,
Sep-56,"11,839,357","43,228,695","8,502,652","63,570,704",33,
Oct-56,"11,830,850","43,239,587","8,510,929","63,581,366",34,
Nov-56,"11,820,511","43,290,496","8,519,448","63,630,455",35,
Dec-56,"11,804,488","43,112,004","8,734,101","63,650,593",36,
Jan-57,"11,801,023","43,126,017","8,742,097","63,669,137",37,
Feb-57,"11,795,450","43,139,461","8,754,347","63,689,258",38,
Mar-57,"11,783,932","43,155,693","8,767,201","63,706,826",39,
Apr-57,"11,772,913","43,149,773","8,781,776","63,704,462",40,
May-57,"11,764,493","43,186,398","8,798,804","63,749,695",41,
Jun-57,"11,755,286","43,207,183","8,814,200","63,776,669",42,
Jul-57,"11,746,069","43,219,405","8,825,766","63,791,240",43,
Aug-57,"11,730,681","43,260,112","8,840,576","63,831,369",44,
Sep-57,"11,723,704","43,293,341","8,853,331","63,870,376",45,
Oct-57,"11,718,580","43,297,803","8,864,420","63,880,803",46,
Nov-57,"11,707,365","43,126,017","8,875,619","63,709,001",47,
Dec-57,"11,699,299","43,144,297","9,110,754","63,954,350",48,
Jan-58,"11,689,868","43,157,056","9,127,694","63,974,618",49,
Feb-58,"11,673,663","43,176,934","9,144,418","63,995,015",50,
Mar-58,"11,658,591","43,191,907","9,161,528","64,012,026",51,
Apr-58,"11,646,303","43,178,368","9,180,211","64,004,882",52,
May-58,"11,633,309","43,205,170","9,202,035","64,040,514",53,
Jun-58,"11,626,769","43,215,828","9,220,084","64,062,681",54,
Jul-58,"11,614,392","43,218,557","9,237,722","64,070,671",55,
Aug-58,"11,602,249","43,252,431","9,255,002","64,109,682",56,
Sep-58,"11,589,894","43,283,532","9,272,028","64,145,454",57,
Oct-58,"11,578,818","43,291,524","9,287,591","64,157,933",58,
Nov-58,"11,633,309","43,205,170","9,202,035","64,040,514",59,
Dec-58,"11,557,397","43,206,411","9,455,777","64,219,585",60,
Jan-59,"11,545,687","43,209,798","9,483,590","64,239,075",61,
Feb-59,"11,538,368","43,214,353","9,503,732","64,256,453",62,
Mar-59,"11,530,116","43,213,614","9,523,581","64,267,311",63,
Apr-59,"11,514,509","43,187,589","9,547,828","64,249,926",64,
May-59,"11,508,010","43,202,292","9,578,965","64,289,267",65,
Jun-59,"11,500,037","43,203,180","9,593,455","64,296,672",66,
Jul-59,"11,484,674","43,205,939","9,613,554","64,304,167",67,
Aug-59,"11,472,280","43,219,609","9,638,277","64,330,166",68,
Sep-59,"11,461,745","43,230,087","9,664,380","64,356,212",69,
Oct-59,"11,449,367","43,218,970","9,686,874","64,355,211",70,
Nov-59,"11,442,114","43,243,849","9,710,807","64,396,770",71,
Dec-59,"11,433,331","43,181,734","9,802,080","64,417,145",72,
Jan-60,"12,051,371","43,165,550","9,837,990","65,054,911",73,
Feb-60,"12,048,392","43,160,970","9,869,057","65,078,419",74,
Mar-60,"12,049,685","43,156,534","9,901,456","65,107,675",75,
Apr-60,"12,047,444","43,126,552","9,935,694","65,109,690",76,
May-60,"12,050,271","43,144,384","9,965,872","65,160,527",77,
Jun-60,"12,050,321","43,139,995","9,995,284","65,185,600",78,
Jul-60,"12,046,622","43,123,673","10,025,963","65,196,258",79,
Aug-60,"12,047,380","43,138,341","10,055,736","65,241,457",80,
Sep-60,"12,046,477","43,145,285","10,087,684","65,279,446",81,
Oct-60,"12,046,472","43,130,881","10,115,701","65,293,054",82,
Nov-60,"12,048,148","43,153,153","10,142,344","65,343,645",83,
Dec-60,"12,045,561","43,097,272","10,225,322","65,368,155",84,
Jan-61,"11,737,740","43,829,577","10,637,793","66,205,110",85,
Feb-61,"11,729,196","43,819,485","10,669,483","66,218,164",86,
Mar-61,"11,720,678","43,813,265","10,702,518","66,236,461",87,
Apr-61,"11,711,288","43,809,820","10,731,707","66,252,815",88,
May-61,"11,699,038","43,806,275","10,765,365","66,270,678",89,
Jun-61,"11,686,028","43,802,016","10,799,555","66,287,599",90,
Jul-61,"11,671,690","43,802,217","10,831,926","66,305,833",91,
Aug-61,"11,662,239","43,803,997","10,863,549","66,329,785",92,
Sep-61,"11,648,453","43,805,852","10,899,606","66,353,911",93,
Oct-61,"11,636,753","43,808,266","10,932,245","66,377,264",94,
Nov-61,"11,625,711","43,807,985","10,964,034","66,397,730",95,
Dec-61,"11,607,020","43,748,820","11,058,139","66,413,979",96,
Jan-62,"11,146,361","42,977,342","10,706,346","64,830,049",97,
Feb-62,"11,132,299","42,972,123","10,741,613","64,846,035",98,
Mar-62,"11,113,775","42,962,535","10,778,424","64,854,734",99,
Apr-62,"11,099,938","42,917,332","10,810,453","64,827,723",100,
May-62,"11,087,432","42,925,880","10,846,171","64,859,483",101,
Jun-62,"11,070,173","42,909,062","10,885,492","64,864,727",102,
Jul-62,"11,052,151","42,903,886","10,917,401","64,873,438",103,
Aug-62,"11,030,535","42,913,874","10,953,885","64,898,294",104,
Sep-62,"11,007,071","42,911,950","10,989,455","64,908,476",105,
Oct-62,"10,988,442","42,883,350","11,023,239","64,895,031",106,
Nov-62,"10,968,944","42,901,335","11,056,426","64,926,705",107,
Dec-62,"10,947,179","42,845,915","11,136,059","64,929,153",108,
Jan-63,"10,935,889","42,819,885","11,177,810","64,933,584",109,
Feb-63,"10,920,192","42,803,322","11,215,953","64,939,467",110,
Mar-63,"10,899,348","42,788,612","11,254,860","64,942,820",111,
Apr-63,"10,872,122","42,746,386","11,306,688","64,925,196",112,
May-63,"10,855,597","42,746,796","11,348,640","64,951,033",113,
Jun-63,"10,845,397","42,735,024","11,381,560","64,961,981",114,
Jul-63,"10,828,867","42,724,410","11,417,739","64,971,016",115,
Aug-63,"10,806,496","42,724,918","11,455,115","64,986,529",116,
Sep-63,"10,785,933","42,720,527","11,491,708","64,998,168",117,
Oct-63,"10,761,913","42,695,154","11,527,008","64,984,075",118,
Nov-63,"10,743,705","42,707,741","11,556,676","65,008,122",119,
Dec-63,"10,721,801","42,652,475","11,633,188","65,007,464",120,
Jan-64,"10,698,887","42,633,736","11,670,649","65,003,272",121,
Feb-64,"10,678,858","42,614,160","11,705,623","64,998,641",122,
Mar-64,"10,661,164","42,594,412","11,741,741","64,997,317",123,
Apr-64,"10,637,579","42,566,531","11,782,116","64,986,226",124,
May-64,"10,613,614","42,558,670","11,821,609","64,993,893",125,
Jun-64,"10,594,341","42,537,307","11,853,998","64,985,646",126,
Jul-64,"10,568,532","42,523,388","11,882,208","64,974,128",127,
Aug-64,"10,545,739","42,508,214","11,906,511","64,960,464",128,
Sep-64,"10,523,316","42,504,062","11,937,000","64,964,378",129,
